__source_file,agent0,agent1,deck0_name,deck1_name,end_reason,game_id,p0_approx_mana_spent,p0_battlefield_creatures,p0_creature_casts,p0_land_plays,p0_library_size,p0_life,p0_main_phase_actions,p0_main_phase_passes,p1_approx_mana_spent,p1_battlefield_creatures,p1_creature_casts,p1_land_plays,p1_library_size,p1_life,p1_main_phase_actions,p1_main_phase_passes,winner
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,12,30.0,7,9.0,4.0,32,20,22.0,9.0,0.0,0,0.0,4.0,31,-6,12.0,8.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,13,8.0,3,3.0,6.0,31,10,22.0,13.0,32.0,6,9.0,5.0,30,-1,27.0,13.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,14,12.0,4,4.0,5.0,32,20,22.0,13.0,13.0,3,4.0,4.0,31,-5,18.0,10.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,15,25.0,6,9.0,5.0,32,20,25.0,11.0,4.0,1,1.0,4.0,31,-6,14.0,9.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,16,13.0,4,4.0,8.0,30,10,27.0,15.0,47.0,7,11.0,6.0,29,-1,29.0,12.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,17,10.0,3,3.0,5.0,31,16,22.0,14.0,20.0,4,5.0,5.0,30,0,23.0,13.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,18,21.0,5,5.0,7.0,33,20,21.0,9.0,0.0,0,0.0,3.0,32,-4,9.0,6.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,19,9.0,4,4.0,6.0,30,14,27.0,17.0,32.0,6,9.0,6.0,29,-3,30.0,15.0,0
20251128_010916_random_vs_heuristic.csv,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,life,0,32.0,3,8.0,7.0,30,12,28.0,13.0,14.0,4,4.0,4.0,29,-2,32.0,20.0,0
20251128_010916_random_vs_heuristic.csv,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,life,1,26.0,4,8.0,5.0,31,18,25.0,11.0,14.0,4,5.0,5.0,30,-8,27.0,15.0,0
